LAMMPS data file for a simple Lennard-Jones system

13 atoms
1 atom types

0.0 10.0 xlo xhi
0.0 10.0 ylo yhi
0.0 10.0 zlo zhi

Masses

1 1.0

Atoms

1 1 5.894026 8.015935 1.049100
2 1 1.865237 2.780705 7.886630
3 1 4.974156 8.145067 5.060911
4 1 1.862293 6.906777 1.489641
5 1 5.028814 6.541341 2.975749
6 1 4.281324 9.222444 0.008921
7 1 5.085908 6.725464 0.197872
8 1 9.577042 2.289233 0.239421
9 1 9.080437 1.042045 1.600208
10 1 2.708190 6.583050 7.446619
11 1 3.094808 9.036060 2.642437
12 1 2.041192 3.554836 9.266827
13 1 1.716382 0.132246 4.395802
